x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826488,43133.24935924902,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89668.2388975564,43130.45242228646,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,1.5
89666.87822552054,43127.882263996544,0.0,0.0,0.0,-0.8760856354219352,0.48215553445682235,1.5
89665.44196059382,43125.61447727014,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5
89663.70332410357,43122.66635452582,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,1.5
89660.83079425011,43121.00331092646,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,1.5
89657.80707861489,43119.037895763584,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89653.95184118,43116.99688770982,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,1.5
89650.61527763396,43117.64606331011,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,2.0
89647.04114078643,43118.84771276746,0.0,0.0,0.0,0.9828388597749671,0.18446619125531533,8.3
89644.45593458207,43119.85356517503,0.0,0.0,0.0,0.9828388597749282,0.18446619125552244,8.3
89642.08375731178,43120.77653225382,0.0,0.0,0.0,0.9801146773240839,0.19843190089778148,8.3
89638.68207722215,43122.21279718054,0.0,0.0,0.0,0.9622001654295769,0.27234324233822105,8.3
89636.71666205926,43123.42228343462,0.0,0.0,0.0,0.9656057545943877,0.2600106280408611,8.3
89634.37328244197,43124.78295547046,0.0,0.0,0.0,0.9225056094289749,0.38598367915246845,8.3
89632.69193766383,43126.48851578403,0.0,0.0,0.0,0.8807548517288327,0.47357247719448603,8.3
89630.54143781093,43129.74162241264,0.0,0.0,0.0,0.8807548517287003,0.4735724771947322,8.3
89628.3148229,43133.1098699,0.0,0.0,0.0,0.8876786755288125,0.4604634285276228,8.3
89626.5962446,43135.5491846,0.0,0.0,0.0,0.8865758413551225,0.4625832655052025,8.3
89624.8893618,43137.9966586,0.0,0.0,0.0,0.8866177348157583,0.46250296465014545,8.3
89623.1819638,43140.4439264,0.0,0.0,0.0,0.886022717946053,0.4636418265034863,8.3
89621.4806511,43142.8958758,0.0,0.0,0.0,0.8858404744325861,0.4639899286159677,8.3
89619.7813115,43145.3490954,0.0,0.0,0.0,0.8840654740746551,0.4673630682340607,8.3
89618.100974,43147.8148295,0.0,0.0,0.0,0.8817338975541988,0.47174710799736924,8.3
89616.4459781,43150.2959718,0.0,0.0,0.0,0.8747329353994254,0.48460529477865233,8.3
89614.8648117,43152.8237383,0.0,0.0,0.0,0.8520352631869781,0.5234843935456882,8.3
89613.5157321,43155.4866665,0.0,0.0,0.0,0.7988249148909662,0.6015635921076347,8.3
89612.6932589,43158.3481709,0.0,0.0,0.0,0.7028539955455397,0.7113341415577284,8.3
89612.7291468,43161.3404789,0.0,0.0,0.0,0.5688843952383383,0.8224175003332006,8.3
89613.7741219,43164.1124982,0.0,0.0,0.0,0.332024351633184,0.9432708147306179,8.3
89616.038489,43165.9320151,0.0,0.0,0.0,0.09576117963897977,0.9954043381833089,8.3
89618.9507637,43166.4975904,0.0,0.0,0.0,-0.17146598580861655,0.9851900404037179,8.3
89621.7102618,43165.5070397,0.0,0.0,0.0,-0.3722981364651079,0.9281131922263619,8.3
89623.8840814,43163.4286152,0.0,0.0,0.0,-0.43347161461633327,0.9011672205101054,8.3
89625.7384085,43161.107721,0.0,0.0,0.0,-0.5077202816800768,0.8615219762552221,8.3
89627.1816511,43158.5014474,0.0,0.0,0.0,-0.5357086988320535,0.8444028600115399,8.3
89628.4528769,43155.8019154,0.0,0.0,0.0,-0.5575441010496636,0.8301473214946384,8.3
89629.5826044,43153.0374306,0.0,0.0,0.0,-0.569086621168504,0.8222775794140417,8.3
89630.6338945,43150.2444985,0.0,0.0,0.0,-0.4771213576660648,0.878837419582764,8.3
89632.2522925146,43147.75284844299,0.0,0.0,0.0,-0.551099706575186,0.8344394006833233,8.3
89633.20967857075,43145.509917684125,0.0,0.0,0.0,-0.5186828293851513,0.8549667376576787,8.3
89634.45844299185,43143.112302045345,0.0,0.0,0.0,-0.49334011371928826,0.8698364973921476,8.3
89636.12346221996,43140.32797420675,0.0,0.0,0.0,-0.3526139839977672,0.9357688701219027,8.3
89638.4128636586,43138.31707076777,0.0,0.0,0.0,-0.23236978424659124,0.9726275152231674,8.3
89640.70226509725,43137.15693416836,0.0,0.0,0.0,-0.05440574292758456,0.9985189107555739,8.3
89642.82516461308,43136.92490684848,0.0,0.0,0.0,0.16067803779135187,0.9870068734165537,8.3
89644.90643864822,43137.62098880812,0.0,0.0,0.0,0.34352406870127616,0.9391438730156956,8.3
89646.73795979914,43139.16783760734,0.0,0.0,0.0,0.5540159306970269,0.832506065163436,8.3
89647.61209489389,43141.25608348628,0.0,0.0,0.0,0.699455895980281,0.71467576534987,8.3
89647.6953458553,43145.12320548432,0.0,0.0,0.0,0.8552788908611095,0.5181679446351253,8.3
89646.32170499211,43147.75284844299,0.0,0.0,0.0,0.8554577728148866,0.5178725701662464,8.3
89644.86481316751,43150.53717628158,0.0,0.0,0.0,0.882001167353983,0.47124721833259803,8.3
89643.1581684587,43153.08947680029,0.0,0.0,0.0,0.9099741023570471,0.4146650853875768,8.3
89641.4098982692,43155.100380239266,0.0,0.0,0.0,0.9319120116419387,0.36268443936495975,8.3
89639.4771382,43156.8733096,0.0,0.0,0.0,0.8994355144724612,0.437053492499098,8.3
